From Town Name,To Town Name,Distance (m),Time (sec)
Acushnet Center,Madaket,126875,12228
Acushnet Center,Malden city,97996,4649
Acushnet Center,Mansfield Center,58310,2385
Acushnet Center,Marblehead,114805,5954
Acushnet Center,Marion Center,17598,1313
Acushnet Center,Marlborough city,111365,4327
Acushnet Center,Marshfield,56915,3368
Acushnet Center,Marshfield Hills,66249,3814
Acushnet Center,Mashpee Neck,64324,3142
Acushnet Center,Mattapoisett Center,16511,1118
Acushnet Center,Maynard,131603,5151
Acushnet Center,Medfield,84567,3736
Acushnet Center,Medford city,98663,4296
Acushnet Center,Melrose city,103934,4681
Acushnet Center,Methuen Town city,145650,5838
Acushnet Center,Middleborough Center,26457,1754
Acushnet Center,Milford,90677,3562
Acushnet Center,Millers Falls,207544,8241
Acushnet Center,Millis-Clicquot,80586,3575
Acushnet Center,Milton,74062,3205
Acushnet Center,Monomoscoy Island,69652,3583
Acushnet Center,Monson Center,169520,6705
Acushnet Center,Monument Beach,42779,2061
Acushnet Center,Nahant,110330,5497
Acushnet Center,Nantucket,120271,11912
Acushnet Center,Needham,83296,3594
Acushnet Center,New Bedford city,7146,801
Acushnet Center,New Seabury,67669,3429
Acushnet Center,Newburyport city,147771,6157
Acushnet Center,Newton city,89681,3852
Acushnet Center,North Adams city,289077,11871
Acushnet Center,North Amherst,208889,8470
Acushnet Center,North Brookfield,153284,6527
Acushnet Center,North Eastham,111089,5060
Acushnet Center,North Falmouth,51988,2515
Acushnet Center,North Lakeville,22277,1407
Acushnet Center,North Pembroke,59846,3546
Acushnet Center,North Plymouth,42665,2762
Acushnet Center,North Scituate,73099,4274
Acushnet Center,North Seekonk,57189,2763
Acushnet Center,North Westport,24165,1307
Acushnet Center,Northampton city,223147,8458
Acushnet Center,Northborough,112555,4404
Acushnet Center,Northfield,212497,8687
Acushnet Center,Northwest Harwich,87359,3958
Acushnet Center,Norton Center,53731,2331
Acushnet Center,Norwood,78239,3243
Acushnet Center,Ocean Bluff-Brant Rock,61599,3606
Acushnet Center,Ocean Grove,34063,1703
Acushnet Center,Onset,28832,1539
Acushnet Center,Orange,192804,7734
Acushnet Center,Orleans,101417,4543
Acushnet Center,Oxford,116063,5011
Acushnet Center,Palmer Town city,175201,6416
Acushnet Center,Peabody city,113892,4998
Acushnet Center,Pepperell,155830,6323
Acushnet Center,Petersham,182466,7474
Acushnet Center,Pinehurst,116774,5034
Acushnet Center,Pittsfield city,274832,10433
Acushnet Center,Plymouth,40614,2563
Acushnet Center,Pocasset,49075,2399
Acushnet Center,Popponesset,68020,3536
Acushnet Center,Popponesset Island,67380,3451
Acushnet Center,Provincetown,144905,6889
Acushnet Center,Quincy city,76016,3269
Acushnet Center,Randolph,63641,2735
Acushnet Center,Raynham Center,34804,1730
Acushnet Center,Reading,124938,5209
Acushnet Center,Revere city,97449,4476
Acushnet Center,Rockport,168810,7164
Acushnet Center,Rowley,140843,6154
Acushnet Center,Russell,223986,8438
Acushnet Center,Rutland,153009,6284
Acushnet Center,Sagamore,45042,2139
Acushnet Center,Salem city,115748,6095
Acushnet Center,Salisbury,154165,6620
Acushnet Center,Sandwich,48728,2393
Acushnet Center,Saugus,105357,4647
Acushnet Center,Scituate,71117,4179
Acushnet Center,Seabrook,64896,3223
Acushnet Center,Seconsett Island,65439,3332
Acushnet Center,Sharon,72549,3023
Acushnet Center,Shelburne Falls,266590,9742
Acushnet Center,Shirley,139844,5669
Acushnet Center,Siasconset,130338,12481
Acushnet Center,Smith Mills,12041,1051
Acushnet Center,Somerset,33552,1757
Acushnet Center,Somerville city,94156,4246
Acushnet Center,South Amherst,207262,8078
Acushnet Center,South Ashburnham,163200,6496
Acushnet Center,South Deerfield,239621,8787
Acushnet Center,South Dennis,83568,3654
AAcushnet Center,South Duxbury,50578,2974
Acushnet Center,South Lancaster,128932,5069
Acushnet Center,South Yarmouth,79360,3534
Acushnet Center,Southbridge Town city,151442,6121
Acushnet Center,Southfield,70778,3486
Acushnet Center,Spencer,144039,5919
Acushnet Center,Springfield city,195695,7411
Acushnet Center,Stoneham,101897,4327
Acushnet Center,Sturbridge,151568,5724
Acushnet Center,Swampscott,109117,5513
Acushnet Center,Taunton city,31752,1656
Acushnet Center,Teaticket,62288,2959
Acushnet Center,The Pinehills,57952,2742
Acushnet Center,Topsfield,146470,5994
Acushnet Center,Townsend,161042,6615
Acushnet Center,Turners Falls,215098,8771
Acushnet Center,Upton,101137,3918
Acushnet Center,Vineyard Haven,79788,6415
Acushnet Center,Wakefield,122518,5245
Acushnet Center,Walpole,76295,3082
Acushnet Center,Waltham city,99528,4203
Acushnet Center,Ware,185133,7043
Acushnet Center,Wareham Center,20624,1405
Acushnet Center,Warren,165858,6603
Acushnet Center,Watertown Town city,100155,4489
Acushnet Center,Webster,114177,4976
Acushnet Center,Wellesley,92314,4057
Acushnet Center,West Brookfield,160167,6774
Acushnet Center,West Chatham,97464,4488
Acushnet Center,West Concord,114308,4983
Acushnet Center,West Dennis,81339,3770
Acushnet Center,West Falmouth,56523,2595
Acushnet Center,West Springfield Town city,204107,7502
Acushnet Center,West Wareham,22767,1362
Acushnet Center,West Yarmouth,78201,3652
Acushnet Center,Westborough,110879,4263
Acushnet Center,Westfield city,210709,7770
Acushnet Center,Weweantic,21565,1526
Acushnet Center,Weymouth Town city,81127,3408
Acushnet Center,White Island Shores,32243,1757
Acushnet Center,Whitinsville,99133,4067
Acushnet Center,Wilbraham,183814,6942
Acushnet Center,Williamstown,322996,12078
Acushnet Center,Wilmington,126914,5276
